type,protocol,srcPort,destPort,bytes,duration,requestCount,sourceIP,severity,timestamp
normal,DNS,16637,53,2743,2,6,192.168.1.172,Low,2026-07-03T10:59:00Z
normal,DNS,27223,53,2962,27,4,192.168.1.99,Low,2026-07-03T13:37:00Z
normal,DNS,1842,53,3239,2,1,192.168.1.35,Low,2026-07-03T16:10:00Z
normal,HTTPS,11863,443,2074,28,5,192.168.1.11,Low,2026-07-03T15:36:00Z
normal,HTTP,8494,443,2199,24,7,192.168.1.142,Low,2026-07-03T17:39:00Z
normal,HTTP,13199,80,2538,9,9,192.168.1.104,Low,2026-07-03T11:44:00Z
normal,DNS,61499,53,193,17,2,192.168.1.243,Low,2026-07-03T12:30:00Z
normal,TCP,35207,80,3798,20,2,192.168.1.81,Low,2026-07-03T17:17:00Z
normal,TCP,17403,80,3943,22,9,192.168.1.31,Low,2026-07-03T13:07:00Z
normal,HTTP,45676,443,1965,8,7,192.168.1.184,Low,2026-07-03T13:43:00Z
normal,DNS,8774,53,4667,17,5,192.168.1.248,Low,2026-07-03T14:22:00Z
normal,HTTP,27390,443,4505,10,3,192.168.1.56,Low,2026-07-03T16:47:00Z
normal,HTTP,49717,80,1523,16,7,192.168.1.63,Low,2026-07-03T10:05:00Z
normal,HTTP,42133,443,4844,6,5,192.168.1.155,Low,2026-07-03T10:16:00Z
normal,TCP,40431,80,128,2,8,192.168.1.60,Low,2026-07-03T17:18:00Z
normal,TCP,16398,80,2501,5,5,192.168.1.76,Low,2026-07-03T14:28:00Z
normal,DNS,62809,53,689,10,6,192.168.1.207,Low,2026-07-03T14:50:00Z
normal,HTTP,6039,80,735,20,1,192.168.1.94,Low,2026-07-03T14:52:00Z
normal,HTTP,37602,443,4407,7,10,192.168.1.227,Low,2026-07-03T13:36:00Z
normal,HTTPS,10410,443,3106,21,1,192.168.1.192,Low,2026-07-03T12:57:00Z
normal,TCP,26031,80,964,12,3,192.168.1.233,Low,2026-07-03T11:46:00Z
normal,TCP,8579,80,3181,23,3,192.168.1.71,Low,2026-07-03T10:41:00Z
normal,HTTP,37513,80,1932,29,4,192.168.1.192,Low,2026-07-03T13:13:00Z
normal,DNS,42386,53,2427,24,6,192.168.1.208,Low,2026-07-03T14:37:00Z
normal,HTTPS,54909,443,1306,1,10,192.168.1.248,Low,2026-07-03T12:23:00Z
normal,DNS,19022,53,1465,12,8,192.168.1.98,Low,2026-07-03T17:25:00Z
normal,HTTPS,51954,443,1556,20,4,192.168.1.242,Low,2026-07-03T11:56:00Z
normal,HTTP,32991,443,2651,28,8,192.168.1.116,Low,2026-07-03T11:01:00Z
normal,TCP,28938,80,4573,9,7,192.168.1.43,Low,2026-07-03T13:17:00Z
normal,HTTPS,49801,443,3377,10,2,192.168.1.15,Low,2026-07-03T13:29:00Z
normal,HTTP,46672,443,4250,21,6,192.168.1.114,Low,2026-07-03T15:15:00Z
normal,HTTPS,18863,80,2028,12,4,192.168.1.105,Low,2026-07-03T10:08:00Z
normal,DNS,42925,53,2629,29,5,192.168.1.164,Low,2026-07-03T14:54:00Z
normal,TCP,25014,80,3988,12,1,192.168.1.47,Low,2026-07-03T14:56:00Z
